Unique Identifier,Conversation_Topic,Gender_Leading_Conversation,Number_of_Income_Inequality,Number_of_Addiction
1,1,2,2,1
2,2,2,0,1
3,1,2,1,2
4,1,1,3,0
5,2,3,6,1
6,2,2,1,0
7,3,2,1,1
8,2,2,2,1
9,2,3,1,1
10,2,2,1,1
11,1,2,1,0
12,3,2,0,1
13,2,1,3,1
14,2,2,4,2
15,2,2,1,1
16,2,3,2,0
17,2,2,0,1
18,2,3,2,0
19,2,3,0,0
20,2,3,0,1
21,2,1,2,0
22,2,1,0,1
23,1,1,8,0
24,3,1,1,0
25,1,2,1,0
26,3,1,1,0
27,3,3,1,1
28,2,2,0,0
29,1,3,1,0
30,1,3,0,0
31,2,2,0,0
32,1,2,0,1
33,1,1,1,0
34,1,2,1,1
35,1,2,0,1
36,1,2,0,0
37,1,2,0,0
38,3,1,0,0
39,3,1,2,0
40,1,2,1,0
41,2,1,2,1
42,2,1,1,0
43,2,3,4,0
44,1,2,1,0
45,2,1,0,0
46,2,2,0,0
47,2,2,2,0
48,1,2,2,2
49,1,2,1,0
50,1,2,1,0
51,2,2,0,0
52,2,2,0,1
